input,output,instruction
What causes Athlete's foot?,"Athlete's foot occurs when a certain fungus grows on your skin in your feet. In addition to the toes, it may also occur on the heels, palms, and between the fingers.
Athlete's foot is the most common type of tinea fungal infections. The fungus thrives in warm, moist areas. Your risk for getting athlete's foot increases if you:
Wear closed shoes, especially if they are plastic-lined Keep your feet wet for prolonged periods of time Sweat a lot Develop a minor skin or nail injury
Athlete's foot is contagious, and can be passed through direct contact, or contact with items such as shoes, stockings, and shower or pool surfaces.",Answer this question truthfully
When to seek urgent medical care when I have Langerhans cell histiocytosis ?,Call your health care provider if you or your child have symptoms of this disorder. Go to the emergency room if shortness of breath or chest pain develop.,Answer this question truthfully
What are normal results?,Neutrophils: 40% to 60% Lymphocytes: 20% to 40% Monocytes: 2% to 8% Eosinophils: 1% to 4% Basophils: 0.5% to 1% Band (young neutrophil): 0% to 3%,Answer this question truthfully
What causes Malignant hypertension?,"The disorder affects about 1% of people with high blood pressure, including both children and adults. It is more common in younger adults, especially African-American men.
It also occurs in people with:
Collagen vascular disorders Kidney problems Toxemia of pregnancy
You are at high risk for malignant hypertension if you have had:
Kidney failure Renal hypertension caused by renal artery stenosis",Answer this question truthfully
What to expect if I have Night terror  (Outlook/Prognosis)?,"Most children outgrow night terrors in a short period of time. The number of episodes usually decreases after age 10. Rarely, children will have problems falling asleep or staying asleep.",Answer this question truthfully
When to seek urgent medical care when I have Myocarditis ?,"Call your health care provider if you have symptoms of myocarditis, especially after a recent infection. Seek immediate medical help if you have severe symptoms or have been diagnosed with myocarditis and have increased:
Chest pain Difficulty breathing Swelling of your extremities",Answer this question truthfully
When to seek urgent medical care when I have Cerebral aneurysm ?,"Go to the emergency room or call the local emergency number (such as 911) if you have a sudden or severe headache, especially if you also have nausea, vomiting, seizures, or any other neurological symptoms.
Also call if you have a headache that is unusual for you, especially if it is severe or your worst headache ever.",Answer this question truthfully
Who is at highest risk for Gangrene (Patient information)?,"You have a higher risk for gangrene if you have:
A serious injury Blood vessel disease (such as arteriosclerosis, also called hardening of the arteries, in your arms or legs) Diabetes Suppressed immune system (for example, from HIV or chemotherapy) Surgery",Answer this question truthfully
What causes (disease name)?,"Here you can list the causes of the disease. Remember this is what causes the disease, not what the disease causes. For an example of the causes section on a patient information page, click here.",Answer this question truthfully
When to seek urgent medical care when I have Airway obstruction ?,"Airway obstruction is an emergency. It is a good idea to learn how to clear an airway of a foreign body by using a method such as the Heimlich maneuver. Diseases in which airway obstruction develops over a period of hours will allow time to get to a hospital. If an acute airway obstruction occurs, call 911 or your local emergency number for medical help. Do what you can to maintain breathing until medical help arrives.",Answer this question truthfully
What to expect if I have Quadriplegia  (Outlook/Prognosis)?,"Prognosis of quadriplegia depends on:
Underlying causes The severity of injury in spinal cord or brain Whether the patient is treated early Whether the patient is accompanied with complications such as score and pneumonia",Answer this question truthfully
What are the symptoms of Schizoid personality disorder?,"A person with schizoid personality disorder:
Appears aloof and detached Avoids social activities that involve emotional intimacy with other people Does not want or enjoy close relationships, even with family members",Answer this question truthfully
When to seek urgent medical care when I have Tinea versicolor ?,Call for an appointment with your health care provider if you develop symptoms of tinea versicolor.,Answer this question truthfully
What are the symptoms of Hypotension?,"Symptoms may include:
Blurry vision Confusion Dizziness Fainting Light-headedness Sleepiness Weakness",Answer this question truthfully
What causes Traveler's diarrhea?,"Traveler's diarrhea may be caused by an infection with either bacteria, virus, or parasite. E. coli (bacterium) is the most common cause of traveler's diarrhea. It is responsible for approximately 70% to 80% of all cases of traveler's diarrhea.",Answer this question truthfully
