input,Correct Answer,Correct Option,source
"Name three of the five main uses of the hand.

A. Touch, feel, stroke.
B. Grip, percussion, sensory.
C. Tap, slap, clap.
D. Touch, pinch, grasp.","Grip, percussion, sensory.",B,Clinical Knowledge
"Which of the following is true about the carpal tunnel syndrome?

A. It can be caused by rheumatoid arthritis
B. It is caused by compression of the ulna nerve
C. It causes pain and tingling in the medial three and half digits
D. Paraesthesia is worse during the day",It can be caused by rheumatoid arthritis,A,Clinical Knowledge
"When teaching a patient inhaler technique, how will you ensure that a large proportion of the drug reaches the lower airways?

A. Ask them to take lots of small, quick breaths in before using the inhaler.
B. Ask them to breathe normally when using the inhaler.
C. Ask them to perform the procedure as quickly as they can.
D. Ask them to hold their breath at the end of the inspiration on using the inhaler.",Ask them to hold their breath at the end of the inspiration on using the inhaler.,D,Clinical Knowledge
"The walls of bronchioles contain

A. cartilage, smooth muscle and respiratory epithelium.
B. cartilage and smooth muscle.
C. cartilage and respiratory epithelium.
D. smooth muscle and respiratory epithelium.",smooth muscle and respiratory epithelium.,D,Anatomy
"The lateral pterygoid muscle

A. is attached to the coronoid process and elevates the mandible.
B. is attached to the condylar process and elevates the mandible.
C. is attached to the coronoid process and protrudes the mandible.
D. is attached to the condylar process and protrudes the mandible.",is attached to the condylar process and protrudes the mandible.,D,Anatomy
"What is the risk if water is used for bladder washout in secondary care?

A. Fluid may bypass when the washout is carried out.
B. Bladder washout may be unsuccessful.
C. Using water may cause electrolyte imbalance.
D. The medical staff may be unhappy.",Using water may cause electrolyte imbalance.,C,Clinical Knowledge
"In the assessment of the hand function which of the following is true?

A. Abduction of the thumb is supplied by spinal root T2
B. Opposition of the thumb by opponens policis is supplied by spinal root T1
C. Finger adduction is supplied by the median nerve
D. Finger abduction is mediated by the palmar interossei",Opposition of the thumb by opponens policis is supplied by spinal root T1,B,Clinical Knowledge
"Palatine shelf elevation is due to the effect of

A. descent of the tongue.
B. changes in flexure of the developing brain.
C. hydrophilic molecules increasing turgor pressure in the palatine shelves.
D. a combination of these three processes.",a combination of these three processes.,D,Anatomy
"How long can a long-term catheter stay in situ?

A. 4 weeks.
B. 7 weeks.
C. 12 weeks.
D. 20 weeks.",12 weeks.,C,Clinical Knowledge
"Selective Androgen Receptor Modulators (SARMs) are:

A. steroid drugs that act on androgen receptors mimicking the effects of natural steroid hormones.
B. steroid drugs that act on androgen receptors antagonising the effects of natural steroid hormones.
C. non-steroid drugs that act on androgen receptors mimicking the effects of natural steroid hormones.
D. non-steroid drugs that act on androgen receptors inhibiting the effects of natural steroid hormones.",non-steroid drugs that act on androgen receptors mimicking the effects of natural steroid hormones.,C,Clinical Knowledge
"If a blood unit has been out of refrigeration for longer than the accepted time limit, you should:

A. transfuse it as soon as possible and annotate the patient's notes with the time of administration.
B. dispose of the contents in the sluice area, keeping the bag for record purposes.
C. return it to the blood bank and inform them of why you have done so.
D. refrigerate for a minimum of 12 hours and then administer it.",return it to the blood bank and inform them of why you have done so.,C,Clinical Knowledge
"A 35-year-old woman comes to the office because of a 3-day history of severe right back pain. She has not had any fever, chills, or weight loss. She has no history of major medical illness. Musculoskeletal and neurologic examinations show no abnormalities. When told that her examination is normal, the patient becomes tearful and demands an MRI of her back because her mother just died from breast cancer metastatic to bone and she fears that she may also have cancer. The patient already contacted her insurance company, who told her that if she has neurologic abnormalities an MRI may be covered by her plan. The patient asks the physician to order the MRI indicating that she has neurologic findings. Which of the following is the most appropriate initial action by the physician?

A. Advise the patient to change insurance companies as soon as she is able so that she can receive more comprehensive medical care
B. Explain that the patient does not need the MRI and that it is not appropriate to misrepresent her examination findings
C. Immediately inform the patient's insurance company about what the patient has asked the physician to do
D. Order the MRI as the patient requests",Explain that the patient does not need the MRI and that it is not appropriate to misrepresent her examination findings,B,Professional Medicine
"A 44-year-old woman with a 10-year history of arthritis comes to the office because she has had increasing pain and stiffness in her hands, wrists, and knees during the past several months. She also has had increasing fatigue for the past month, along with a weight loss of 1.8 to 2.2 kg (4 to 5 lb). She has seen numerous physicians for her arthritis in the past and has tried various medications and devices, including copper bracelets from Mexico given to her by friends. Review of her medical records confirms that the initial diagnosis of rheumatoid arthritis is correct. She says, ""I had several drop attacks during the past 3 months."" She characterizes these attacks as episodes of weakness and loss of feeling in her legs for several minutes. During one of these episodes, she became incontinent. She currently takes aspirin approximately four times daily and ibuprofen occasionally. Physical examination shows facial plethora and swollen and painful metacarpophalangeal and knee joints, bilaterally. There is moderate ulnar deviation of the fingers. The remainder of the examination discloses no abnormalities. Which of the following is the most likely cause of her ""drop attacks?""

A. Adrenal insufficiency
B. Anxiety
C. Atlanto-axial instability
D. Cardiac arrhythmia",Atlanto-axial instability,C,Professional Medicine
"A 65-year-old female is admitted to the hospital after experiencing aphasia and right-sided hemiparesis. She subsequently develops urinary incontinence. There is no evidence of urinary tract infection and no prior history of urinary pathology. The most likely diagnosis is

A. autonomic neurogenic bladderv
B. motor paralytic bladder
C. reflex neurogenic bladder
D. uninhibited neurogenic bladder",uninhibited neurogenic bladder,D,Professional Medicine
"Primary motor cortex activity results in

A. bilateral contraction of antigravity limb muscles.
B. bilateral contraction of limb musculature.
C. contraction of ipsilateral limb musculature.
D. contraction of contralateral limb musculature.",contraction of contralateral limb musculature.,D,Anatomy
"In the discharge checklist recommended by the Department of Health (2004), who should be involved in completing the form?

A. The GP, consultant, and named nurse.
B. The nurse, patient, and ward clerk.
C. The nurse, ward clerk, and consultant.
D. The nurse, consultant, and GP.","The nurse, patient, and ward clerk.",B,Clinical Knowledge
"The walls of the maxillary sinus are sinus is related to

A. the floor of the orbit.
B. the floor of the orbit and the upper posterior teeth.
C. the floor of the orbit, the upper posterior teeth and the infratemporal fossa.
D. the floor of the orbit, the upper posterior teeth, the infratemporal fossa and the hard palate.","the floor of the orbit, the upper posterior teeth and the infratemporal fossa.",C,Anatomy
"The trachea

A. lies deep to the oesophagus.
B. lies superficial to the oesophagus.
C. is totally enclosed by cartilaginous rings.
D. divides at the thoracic inlet.",lies superficial to the oesophagus.,B,Anatomy
"Approximately how many kJ of energy are expended if an athlete's steady-rate oxygen uptake averages 3.0 l/min for 5 minutes of exercise?

A. 60 kJ
B. 150 kJ
C. 300 kJ
D. 500 kJ",300 kJ,C,Clinical Knowledge
"A 22-year-old woman comes to the emergency department because of a 5-day history of sore throat and fever. During the past 3 days, she also has noticed a change in her voice and has had increased pain with swallowing. She has been taking acetaminophen since her symptoms began. Medical history is unremarkable and she takes no routine medications. Vital signs are temperature 40.0°C (104.0°F), pulse 130/min, respirations 18/min, and blood pressure 102/66 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 97%. Examination of the oropharynx shows erythema, edema, and anterior displacement of the right side of the soft palate. The uvula is deviated to the left. There is a white exudate on the right tonsil. Trismus is noted. Palpation of the neck discloses enlarged, tender, mobile anterior cervical lymph nodes. In addition to antibiotic therapy, which of the following is the most appropriate management?

A. Incision and drainage
B. Intravenous methylprednisolone therapy
C. Oral nystatin therapy
D. Salt water gargle",Incision and drainage,A,Professional Medicine
